key,year,category,dram_assumption,movement_granularity,page_locality_claim
shazeer-glu,2020,architecture,"resident dense weights",dense tensor tile,"SwiGLU makes every projection logically dense and defines no conditional page reads."
moefication,2021,dense-to-moe,"model resident in execution memory",neuron cluster,"Selected experts are not required to be page aligned, so arithmetic sparsity need not reduce pages."
zero-inference,2022,offload,"weights may exceed GPU and host DRAM",whole layer,"Single-token decoding still reads pages proportional to a dense layer."
flexgen,2023,offload,"weights and runtime state may exceed GPU and CPU memory",tensor block,"Batch-oriented dense blocks do not minimize distinct pages for one token."
sparsegpt,2023,pruning,"sparse model resident in CPU or GPU memory",weight or N:M group,"Surviving weights can remain dispersed across every original matrix page."
wanda,2023,pruning,"sparse model resident in CPU or GPU memory",weight or N:M group,"Its mask has no page-packing objective and therefore does not imply fewer pages."
dejavu,2023,contextual-sparsity,"accelerator inference; no storage capacity tier",head or neuron group,"Prediction skips computation but unchanged layout need not skip storage pages."
relu-strikes-back,2023,activation-sparsity,"weights available through DRAM hierarchy",neuron weight group,"Temporal neuron reuse does not require co-active weights to share pages."
llm-in-a-flash,2023,flash-inference,"model may be about twice available DRAM",neuron rows and bundled columns,"Bundling creates contiguous reads but does not require one useful bundle per page."
powerinfer,2023,heterogeneous-inference,"model fits aggregate GPU and host DRAM",neuron group,"Cold CPU accesses are not bounded to a fixed storage-page count per token."
mixtral-offload,2023,moe-offload,"model fits host DRAM but not accelerator memory",whole expert,"A cache miss moves a whole expert without sub-expert page-locality guarantees."
gguf,2023,container,"format has no capacity policy",tensor,"Tensor alignment and mmap support do not provide token-dependent page routing."
nvme-fdp,2023,storage,"no model-memory assumption",logical blocks in reclaim units,"Placement hints alter write placement, not read granularity or useful-byte occupancy."
moe-infinity,2024,moe-offload,"full model resides in host DRAM",whole expert,"Expert cache hits help, but misses move whole experts without page-local substructure."
powerinfer2,2024,flash-inference,"model may exceed smartphone memory",neuron cluster,"Clusters not matched to page boundaries can overfetch inactive parameters."
prosparse,2024,activation-sparsity,"weights resident for sparse kernels",neuron weight group,"Activation sparsity reduces pages only when inactive neurons occupy separate pages."
cats,2024,activation-sparsity,"weights resident in accelerator memory",neuron weight group,"Threshold sparsity alone cannot establish fewer physical pages."
turbo-sparse,2024,activation-sparsity,"memory-constrained inference; no page contract",expert and neuron group,"One active neuron on every page can preserve nearly all page reads."
llama-moe,2024,dense-to-moe,"experts available in memory",whole expert,"Routable experts are not constructed to minimize pages touched."
dynamic-input-pruning,2024,flash-inference,"mobile DRAM cannot efficiently hold full model",input channel and cache block,"Cache-aware masking optimizes residency but not page-aligned useful-byte occupancy."
hobbit,2024,moe-offload,"model exceeds accelerator memory",quantized expert,"Lookahead moves experts rather than page-aligned parameter groups."
safetensors,2024,container,"format has no capacity policy",tensor slice,"Contiguous slices touch covering pages but token-selected neurons are not page packed."
io-uring,2019,io-api,"caller owns resident I/O buffers",submitted byte range,"Asynchronous reads do not change which pages an inference algorithm requests."
odirect,2001,io-api,"caller owns aligned resident I/O buffers",aligned byte range,"Bypassing page cache exposes overfetch but cannot improve semantic page contents."
spdk,2015,io-api,"DMA buffers reside in hugepage-backed memory",NVMe LBA range,"Lower I/O overhead cannot create semantic locality absent a page-aware layout."
read-disturb,2015,storage-reliability,"not an inference memory design",NAND page within erase block,"Repeated hot-page reads may stress a block but host traces cannot infer controller remapping."
segment-routing-consistency,2025,moe-locality,"subset of experts fits fast memory",whole expert,"Expert cache-hit metrics omit page fragmentation and partial-page usefulness."
moe-speq,2025,moe-offload,"model exceeds accelerator memory",quantized expert,"Future-token prefetch does not jointly optimize physical page placement."
